Serie ID;#Season;#Episode;Episode title;Length (minutes);Synopsis
81022683;1;1;Episodio 1;60;La brillante compositora Yeimy planea su venganza contra aquellos que la enviaron a prisión. Viene a su memoria Charly, su amor de juventud y ahora un famoso cantante.
81022683;1;2;Episodio 2;55;Una joven Yeimy llora su pérdida. Soul and Bass consigue dinero con su primer concierto. Para demostrarle a su tío lo que vale, Charly acepta un encargo peligroso.
81022683;1;3;Episodio 3;46;Cuando Yeimy le reprocha a Charly lo que ha hecho, este se aprovecha de lo que ella siente por él y urde un plan para que su tío no la mate.
81022683;1;4;Episodio 4;46;Juancho se niega a creer que Yeimy es culpable, pero Charly intenta convencerlo de lo contrario. En prisión, Yeimy recibe amenazas y se entera de algo sorprendente.
81022683;1;5;Episodio 5;46;Tras visitar a Yeimy en Estados Unidos, su abuela recibe una desagradable sorpresa en casa. Años más tarde, Charly se pregunta por la familia de su hermano adoptado.
81022683;1;6;Episodio 6;46;Juancho llora la supuesta muerte de Yeimy. La expresidiaria llega a Puerto Rico y comienza el entrenamiento para hacerse pasar por la productora musical Tammy.
81022683;1;7;Episodio 7;46;Yeimy ha completado el entrenamiento y, por primera vez en 17 años, vuelve a Medellín, donde se encuentra por fin con Charly. Erik participa en una batalla musical.
81022683;1;8;Episodio 8;46;Juancho no sospecha que la mujer que tiene delante es Yeimy. Vanesa conoce a un cazatalentos de modelos. Charly intenta conquistar a una importante periodista.
81022683;1;9;Episodio 9;46;Yeimy asiste a la batalla musical para buscar nuevos talentos. Charly hace un concierto con la estrella del reguetón Sebastián Yatra y estrena la nueva canción de Yeimy.
81022683;1;10;Episodio 10;46;La agencia de modelos presiona a una pudorosa Vanesa. Yeimy le presenta a Charly un nuevo cantante y, más tarde, coloca un micrófono en la oficina.
81022683;1;11;Episodio 11;46;Vanesa les cuenta a sus padres que tiene un trabajo. Erik se va de casa tras una pelea con Charly. Juancho se ve obligado a trabajar para los estudios Excelsior.
81022683;1;12;Episodio 12;46;Erik busca información sobre sus padres biológicos. Yeimy y Juancho producen la primera canción de Cris. Gema sospecha que Charly se está viendo todavía con Zulma.
81022683;1;13;Episodio 13;46;Yeimy publica un vídeo que incrimina a Charly y Zulma, pero al tratar de hundir su carrera, también perjudica a su hija Vanesa.
81022683;1;14;Episodio 14;46;Erik recibe una oferta anónima que lo anima a grabar en secreto un álbum con Yeimy y Juancho. Charly se esfuerza por limpiar su imagen y mejorar sus relaciones.
