ID;Title;Premiere year;Age Limit;Num. seasons;Genres;Starring;Creators;Twitter URL
81022683;La reina del flow;2018;13+;1;Series TV latinoamericanas,Dramas TV,Series TV policiacas,Música y musicales;Carolina Ramírez,Carlos Torres,Andrés Sandoval;;
80192098;La casa de papel;2017;16+;2;Series TV españolas,Thrillers TV,Series TV policiacas;Úrsula Corberó,Itziar Ituño,Álvaro Morte;Álex Pina;
80221207;Nicky Jam: El Ganador;2018;16+;1;Series TV latinoamericanas,Dramas TV,Series TV policiacas;Nicky Jam,Diego Cadavid,Ana Lucia Dominguez;;
80036140;Las muñecas de la mafia;2009;16+;2;Series TV basadas en libros,Series TV latinoamericanas,Dramas TV,Series TV policiacas;Amparo Grisales,Carla Giraldo,Paola Rey;;
70140425;Prison Break;2005;16+;5;Dramas TV,Series TV policiacas,Series TV de EE UU,TV de acción y aventuras;Wentworth Miller,Dominic Purcell,Amaury Nolasco;Paul Scheuring;
80025172;Narcos;2015;16+;3;Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU,TV de acción y aventuras;Wagner Moura,Pedro Pascal,Boyd Holbrook;Chris Brancato,Carlo Bernard,Doug Miro;https://twitter.com/narcosnetflix
80200942;Élite;2018;13+;1;Series TV juveniles,Series TV españolas,Thrillers TV,Dramas TV,Series TV policiacas;Danna Paola,Miguel Herrán,María Pedraza;Carlos Montero,Darío Madrona;
80057918;Lucifer;2016;13+;3;Series TV basadas en cómics,Dramas TV,Series TV policiacas,Series TV de EE UU,Ciencia ficción y fantásticas de TV;Tom Ellis,Lauren German,Kevin Alejandro;;
70180057;Pequeñas mentirosas;2010;13+;7;Series TV basadas en libros,Series TV juveniles,Misterios TV,Dramas TV,Series TV policiacas,Series TV de EE UU,Series TV románticas;Troian Bellisario,Ashley Benson,Lucy Hale;I. Marlene King;
80211991;You;2018;16+;1;Series TV basadas en libros,Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU,Series TV románticas;Penn Badgley,Elizabeth Lail,Shay Mitchell;Greg Berlanti,Sera Gamble;
80002479;Peaky Blinders;2013;16+;4;Series TV británica,Dramas TV,Series TV policiacas;Cillian Murphy,Sam Neill,Helen McCrory;Steven Knight;
70143836;Breaking Bad;2008;16+;5;Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU;Bryan Cranston,Aaron Paul,Anna Gunn;Vince Gilligan;
70281312;The Blacklist;2013;16+;5;Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU;James Spader,Megan Boone,Diego Klattenhoff;Jon Bokenkamp;
80117470;Por trece razones;2017;16+;2;Series TV basadas en libros,Series TV juveniles,Misterios TV,Dramas TV,Series TV policiacas,Series TV de EE UU;Dylan Minnette,Katherine Langford,Kate Walsh;Brian Yorkey;https://twitter.com/13reasonswhy
80194956;La desaparición de Madeleine McCann;2019;13+;1;Series TV policiacas,Series TV de EE UU,Docuseries,Documentales,Documentales sobre crímenes;;;
80035684;Pablo Escobar, el patrón del mal;2012;13+;1;Series TV basadas en libros,Series TV latinoamericanas,Dramas TV,Series TV policiacas;Andrés Parra,Angie Cepeda,Cecilia Navia;Juana Uribe,Camilo Cano;
80024057;Cómo defender a un asesino;2014;13+;4;Misterios TV,Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU;Viola Davis,Billy Brown,Alfred Enoch;Peter Nowalk;
80241001;Vivir sin permiso;2018;16+;1;Series TV basadas en libros,Series TV españolas,Dramas TV,Series TV policiacas;José Coronado,Álex González,Claudia Traisac;Aitor Gabilondo;
80997085;Narcos: México;2018;18+;1;Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU,TV de acción y aventuras;Michael Peña,Diego Luna,Tenoch Huerta;Carlo Bernard,Chris Brancato,Doug Miro;
70242081;Arrow;2012;16+;6;Series TV basadas en cómics,Series TV policiacas,Series TV de EE UU,TV de acción y aventuras;Stephen Amell,Katie Cassidy,David Ramsey;;
80020542;Gotham;2014;16+;4;Series TV basadas en cómics,Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU;Ben McKenzie,Donal Logue,Jada Pinkett Smith;Bruno Heller;
70143844;Hijos de la anarquía;2008;16+;7;Dramas TV,Series TV policiacas,Series TV de EE UU;Charlie Hunnam,Katey Sagal,Ron Perlman;Kurt Sutter;
80117498;Marvel - The Punisher;2017;16+;2;Series TV basadas en cómics,Thrillers TV,Series TV policiacas,Series TV de EE UU,TV de acción y aventuras;Jon Bernthal,Ben Barnes,Amber Rose Revah;Steve Lightfoot;
80175802;The Sinner;2017;16+;2;Series TV basadas en libros,Misterios TV,Thrillers TV,Dramas TV,Series TV policiacas,Series TV de EE UU;Jessica Biel,Bill Pullman,Christopher Abbott;Derek Simonds;
80215500;Fariña;2018;16+;1;Series TV basadas en libros,Series TV españolas,Dramas TV,Series TV policiacas;Javier Rey,Tristán Ulloa,Antonio Durán 'Morris';;
80211703;Arenas movedizas;2019;16+;1;Series TV basadas en libros,Series TV juveniles,Swedish TV Shows,Series TV escandinavas,Dramas TV,Series TV policiacas;Hanna Ardéhn,Felix Sandman,William Spetz;;
70205672;La Reina del Sur;2011;16+;1;Series TV basadas en libros,Series TV mexicana,Series TV latinoamericanas,Dramas TV,Series TV policiacas;Kate del Castillo,Cristina Urgel,Alberto Jiménez;Roberto Stopello;
70242215;Elementary;2012;13+;6;Series TV basadas en libros,Misterios TV,Dramas TV,Series TV policiacas,Series TV de EE UU;Jonny Lee Miller,Lucy Liu,Aidan Quinn;Robert Doherty;
